iter	Passed	Remaining
413	5396	5031
414	5409	5018
415	5424	5007
416	5435	4992
417	5454	4984
418	5469	4973
419	5484	4961
420	5504	4954
421	5517	4942
422	5537	4935
423	5547	4919
424	5561	4907
425	5579	4898
426	5598	4890
427	5606	4873
428	5623	4863
429	5635	4849
430	5645	4833
431	5654	4816
432	5670	4806
433	5682	4791
434	5697	4780
435	5712	4769
436	5724	4754
437	5737	4742
438	5750	4728
439	5766	4718
440	5778	4703
441	5790	4690
442	5803	4676
443	5813	4661
444	5827	4649
445	5839	4634
446	5852	4621
447	5861	4605
448	5869	4588
449	5876	4570
450	5883	4553
451	5893	4537
452	5902	4521
453	5910	4504
454	5930	4496
455	5947	4486
456	5964	4476
457	5977	4463
458	5990	4450
459	6007	4440
460	6024	4430
461	6040	4419
462	6053	4406
463	6068	4394
464	6081	4381
465	6093	4367
466	6107	4355
467	6127	4346
468	6138	4332
469	6155	4321
470	6161	4304
471	6174	4290
472	6186	4276
473	6198	4263
474	6210	4249
475	6223	4236
476	6235	4222
477	6247	4208
478	6259	4194
479	6271	4181
480	6285	4168
481	6299	4155
482	6316	4145
483	6332	4134
484	6344	4120
485	6355	4106
486	6366	4091
487	6377	4077
488	6391	4065
489	6410	4055
490	6416	4038
491	6431	4026
492	6445	4013
493	6457	3999
494	6466	3984
495	6477	3969
496	6483	3952
497	6494	3938
498	6503	3922
499	6513	3908
500	6523	3893
501	6534	3879
502	6543	3863
503	6554	3849
504	6566	3836
505	6575	3820
506	6584	3804
507	6593	3790
508	6604	3775
509	6618	3763
510	6633	3751
511	6645	3737
512	6655	3723
513	6663	3707
514	6680	3696
515	6688	3681
516	6698	3666
517	6710	3653
518	6723	3640
519	6745	3632
520	6759	3619
521	6778	3609
522	6796	3599
523	6811	3587
524	6828	3576
525	6845	3565
526	6861	3554
527	6880	3544
528	6888	3529
529	6900	3515
530	6905	3498
531	6915	3483
532	6930	3471
533	6939	3456
534	6949	3442
535	6961	3428
536	6975	3416
537	6989	3403
538	7002	3390
539	7019	3379
540	7034	3367
541	7045	3353
542	7055	3339
543	7065	3324
544	7076	3311
545	7068	3288
546	7082	3276
547	7094	3262
548	7104	3248
549	7112	3232
550	7135	3224
551	7147	3211
552	7159	3197
553	7168	3183
554	7181	3170
555	7201	3160
556	7218	3148
557	7231	3136
558	7245	3123
559	7257	3110
560	7271	3097
561	7290	3087
562	7300	3073
563	7314	3060
564	7328	3047
565	7341	3035
566	7356	3023
